"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2016-07-22 11:00:00,69152,55535.4690412562,61222.2549038938,66546.2088593375,67666.1136719922,68020.6641142713,68111.747589606,68149.4035108626,68283.8810858695,68448.4931675228,68555.673883831,68614.176052244,68633.8886345344,68755.0677308347,68799.353768308,68875.0251761186,68927.0314527128,68959.2378266157,68983.8632961038,69040.3636748351,69075.5177612657,69083.7960776999,69137.1051181496,69146.8277878652,69186.704367256,69260.4607503119,69389.1493293177,69428.3157977379,69489.9669246144,69517.84359555,69524.5764400245,69581.4996428276,69607.9977623521,69651.696768149,69689.6713734285,69712.8331743577,69770.9049382201,69826.4182079392,69867.4723794453,69924.1107143516,69949.1212252799,70002.0277760395,70016.6027974053,70055.1890884736,70063.6598626858,70090.8735932,70109.0643427589,70142.9596214016,70170.4997871866,70175.5608546758,70195.4357777584,70246.492099317,70283.1479140972,70303.2767605216,70311.5785146593,70352.3672929416,70434.1716187868,70446.7298494691,70465.5878309018,70544.2374132167,70672.8645822243,70758.1419625848,70772.3770816991,70800.2146223301,70814.4603805663,70857.903305093,70884.2375755081,70892.4429210025,70928.237315828,70973.0426518641,71009.4398319488,71063.1084257902,71160.2181955849,71180.3112524789,71301.5474784034,71371.4691726946,71410.4546572668,71497.1402217767,71695.2343519991,71827.7256774798,71896.2154993846,72082.9639375362,72121.1253194977,72170.2403091272,72373.9149479435,72480.5562331713,72760.5884109163,72983.1271330104,73100.4728880833,73343.8119893649,73616.877454225
2016-07-23 11:00:00,57254,42822.9869064025,48509.7727690401,53833.7267244838,54953.6315371385,55308.1819794176,55399.2654547523,55436.9213760089,55571.3989510158,55736.0110326691,55843.1917489773,55901.6939173903,55921.4064996807,56042.585595981,56086.8716334543,56162.5430412649,56214.5493178591,56246.755691762,56271.3811612501,56327.8815399814,56363.035626412,56371.3139428462,56424.6229832959,56434.3456530115,56438.7585104535,56502.4187806397,56642.5605051412,56678.1519568476,56745.764966895,56798.6304465735,56807.5070583997,56847.5964415952,56885.6749020673,56910.2171071282,56966.1505164596,56989.7741974742,57016.8803907519,57096.8711822257,57138.3467331869,57183.7862363652,57221.0247486473,57269.6682967705,57295.5728500019,57324.9635366939,57345.7029953198,57363.2742150784,57388.5482690191,57414.9406487268,57444.1952636218,57458.7510190458,57470.8962398441,57505.2600024176,57554.1988264432,57586.6979015379,57593.8134866775,57611.4847083097,57687.1475363929,57725.8328196661,57747.9912404374,57773.6807114332,57902.3328477634,57987.2016375047,58056.9970877528,58067.4688002358,58098.0092746068,58114.621369747,58165.4705091991,58175.2182852737,58187.2197019829,58251.5366197127,58273.4876846044,58330.4578225378,58447.7360607312,58467.8291176252,58589.0653435497,58658.9870378409,58697.9725224131,58784.658086923,58982.7522171454,59115.2435426261,59183.7333645309,59370.4818026825,59408.6431846441,59457.7581742735,59661.4328130898,59768.0740983176,60048.1062760626,60270.6449981567,60387.9907532296,60631.3298545112,60904.3953193713
2016-07-24 12:00:00,50461.25,37323.6776760049,43010.4635386425,48334.4174940862,49454.3223067409,49808.87274902,49899.9562243547,49937.6121456113,50072.0897206182,50236.7018022715,50343.8825185797,50402.3846869927,50422.0972692831,50543.2763655834,50587.5624030567,50663.2338108673,50715.2400874615,50747.4464613644,50772.0719308525,50828.5723095838,50863.7263960144,50872.0047124486,50925.3137528983,50935.0364226139,50939.4492800559,51003.1095502421,51143.2512747436,51178.84272645,51246.4557364974,51299.3212161759,51308.1978280021,51348.2872111976,51386.3656716697,51410.9078767306,51466.841286062,51490.4649670766,51517.5711603543,51597.5619518281,51639.0375027893,51684.4770059676,51721.7155182497,51751.2671182523,51790.220444876,51804.7309684533,51843.3539915089,51851.7742344218,51878.9226381427,51897.1620318991,51931.1369345846,51958.7048681942,51963.682081906,51983.4554619154,52034.3918602184,52071.0859875184,52091.44963346,52099.6886842128,52140.0871161516,52222.3248947453,52234.7424275139,52273.297886874,52403.0236173658,52487.8924071071,52557.6878573552,52568.1595698382,52598.7000442092,52615.3121393494,52666.1612788015,52675.9090548761,52687.9104715853,52752.2273893151,52774.1784542068,52831.1485921402,52948.4268303336,52968.5198872276,53089.7561131521,53159.6778074433,53198.6632920155,53285.3488565254,53483.4429867478,53615.9343122285,53684.4241341333,53871.1725722849,53909.3339542465,53958.4489438759,54162.1235826922,54268.76486792,54548.797045665,54771.3357677591,54888.681522832,55132.0206241136,55405.0860889737
2016-07-25 11:00:00,69264.25,54629.7648041512,60316.5506667888,65640.5046222325,66760.4094348872,67114.9598771663,67206.043352501,67243.6992737576,67378.1768487645,67542.7889304178,67649.969646726,67708.471815139,67728.1843974294,67833.9951882756,67878.4284603448,67908.9342683474,67999.7801576841,68035.8282912887,68057.5101890137,68120.0982972488,68161.8171104619,68170.8954661254,68213.9979976549,68236.5269117042,68243.1308384291,68281.230175561,68354.150772888,68483.4092254952,68536.1590430971,68605.4083443222,68614.2849561484,68654.3743393439,68692.452799816,68716.9950048769,68772.9284142083,68796.5520952229,68823.6582885006,68903.6490799744,68945.1246309356,68990.5641341139,69027.802646396,69057.3542463986,69096.3075730223,69110.8180965996,69149.4411196552,69157.8613625681,69185.009766289,69203.2491600454,69237.2240627309,69264.7919963405,69269.7692100523,69289.5425900617,69340.4789883647,69377.1731156647,69397.5367616063,69405.7758123591,69446.1742442979,69528.4120228916,69540.8295556602,69579.3850150202,69709.1107455121,69793.9795352534,69863.7749855015,69874.2466979845,69904.7871723555,69921.3992674957,69972.2484069478,69981.9961830224,69993.9975997317,70058.3145174614,70080.2655823531,70137.2357202865,70254.5139584799,70274.6070153739,70395.8432412984,70465.7649355896,70504.7504201618,70591.4359846717,70789.5301148941,70922.0214403749,70990.5112622796,71177.2597004312,71215.4210823928,71264.5360720222,71468.2107108385,71574.8519960663,71854.8841738113,72077.4228959054,72194.7686509783,72438.1077522599,72711.17321712
2016-07-26 11:00:00,69660.5,55934.300789001,61621.0866516386,66945.0406070823,68064.945419737,68419.4958620161,68510.5793373508,68548.2352586074,68682.7128336143,68847.3249152676,68954.5056315758,69013.0077999888,69032.7203822792,69138.5311731254,69182.9644451946,69213.4702531972,69304.3161425339,69340.3642761385,69362.0461738634,69424.6342820986,69466.3530953117,69475.4314509752,69518.5339825047,69541.062896554,69547.6668232789,69585.7661604108,69658.6867577378,69787.945210345,69840.6950279469,69909.944329172,69918.8209409982,69958.9103241937,69996.9887846658,70021.5309897267,70077.4643990581,70101.0880800726,70128.1942733504,70208.1850648242,70249.6606157854,70295.1001189637,70332.3386312458,70361.8902312484,70400.8435578721,70415.3540814494,70453.977104505,70462.3973474179,70489.5457511388,70507.7851448952,70541.7600475807,70568.9672491034,70570.0515019504,70582.1239138666,70616.2524142679,70665.3989578681,70697.9601279979,70705.0970048148,70750.7102291477,70832.9480077414,70845.36554051,70883.92099987,71013.6467303618,71098.5155201032,71168.3109703513,71178.7826828343,71209.3231572053,71225.9352523455,71276.7843917976,71286.5321678722,71298.5335845814,71362.8505023112,71384.8015672029,71441.7717051363,71559.0499433297,71579.1430002237,71700.3792261482,71770.3009204394,71809.2864050116,71895.9719695215,72094.0660997439,72226.5574252246,72295.0472471294,72481.795685281,72519.9570672425,72569.072056872,72772.7466956883,72879.3879809161,73159.4201586611,73381.9588807552,73499.3046358281,73742.6437371097,74015.7092019698
2016-07-27 11:00:00,68991,55348.2982863237,61035.0841489613,66359.038104405,67478.9429170597,67833.4933593388,67924.5768346735,67962.2327559301,68096.710330937,68261.3224125903,68368.5031288985,68427.0052973115,68446.7178796019,68552.5286704481,68596.9619425173,68627.4677505199,68718.3136398566,68754.3617734612,68776.0436711862,68838.6317794213,68880.3505926344,68889.4289482979,68932.5314798274,68955.0603938767,68961.6643206016,68999.7636577335,69062.7299650397,69166.649756113,69203.4547082105,69302.3923814455,69330.6385079235,69337.3397556199,69394.2605511832,69420.7938686068,69464.1598710417,69502.4623917638,69525.599498697,69583.1493713317,69639.1521568429,69680.2701231148,69736.8025913586,69761.7064185061,69798.0214890795,69820.7745848941,69849.9110958086,69870.9906395384,69888.4127925065,69913.7935318424,69939.9507799474,69969.0405964176,69983.321924772,69988.2152847063,70007.8871216424,70058.70359669,70095.4360365097,70116.0344819685,70131.0856148544,70211.8766950661,70251.1135159555,70273.2247932769,70356.3764935426,70485.6854333177,70570.8062109259,70585.2002085601,70612.8982957218,70627.2397040418,70670.4564176556,70697.0372599974,70705.2504190066,70740.5716849767,70785.7653591657,70822.0365465402,70927.8863254011,70986.7997995784,71033.1827126545,71135.7476142281,71204.5117066336,71309.9694668442,71508.0635970666,71640.5549225474,71709.0447444521,71895.7931826037,71933.9545645653,71983.0695541947,72186.744193011,72293.3854782388,72573.4176559838,72795.9563780779,72913.3021331508,73156.6412344324,73429.7066992925
2016-07-28 11:00:00,68444.25,54323.5593473261,60010.3452099637,65334.2991654074,66454.2039780621,66808.7544203412,66899.8378956759,66937.4938169325,67071.9713919394,67236.5834735927,67343.7641899009,67402.2663583139,67421.9789406043,67527.7897314505,67572.2230035197,67602.7288115223,67693.574700859,67729.6228344636,67751.3047321886,67813.8928404237,67855.6116536368,67864.6900093003,67907.7925408298,67930.3214548791,67936.925381604,67959.0712931638,68002.7679826124,68059.5597054224,68177.1679019525,68229.1441225033,68299.0441844939,68308.0606476909,68347.6101449811,68386.0009200074,68410.554357748,68466.4623750781,68490.1451160763,68517.1923384799,68597.1214907706,68638.5251231287,68683.8279284686,68721.517997124,68751.065285882,68790.0861502851,68804.5321760739,68843.1919311167,68851.5616427303,68878.644719658,68896.9327576117,68930.9872843401,68958.2214916129,68959.2966605816,68971.2962636157,69005.1895018449,69054.5437650196,69087.1670301846,69094.3251986787,69139.4799759341,69222.1512072763,69234.4280421312,69272.5513736297,69401.9421322468,69486.896893372,69557.5256507554,69567.7842938528,69598.5407610285,69614.8304205881,69665.9589210773,69675.7277325951,69687.5398880116,69752.0122480791,69773.7945987781,69830.1691138556,69948.1206204291,69968.0999718694,70089.4774193936,70159.3093918827,70202.0673510348,70318.5820902098,70511.6619936565,70649.51918279,70729.9614337146,70909.2156255677,70958.3306151971,71162.0052540134,71268.6465392412,71548.6787169862,71771.2174390803,71888.5631941532,72131.9022954348,72404.9677602949
2016-07-29 11:00:00,67636.25,53697.7973406301,59384.5832032677,64708.5371587114,65828.4419713661,66182.9924136452,66274.0758889799,66311.7318102365,66446.2093852434,66610.8214668967,66718.0021832049,66776.5043516179,66796.2169339083,66902.0277247545,66946.4609968237,66976.9668048263,67067.812694163,67103.8608277676,67125.5427254926,67188.1308337277,67229.8496469408,67238.9280026043,67282.0305341338,67304.5594481831,67311.163374908,67333.3092864678,67377.0059759164,67433.7976987264,67551.4058952566,67603.3821158073,67673.282177798,67682.2986409949,67721.8481382851,67760.2389133114,67784.792351052,67823.1770800671,67851.9232193379,67875.0356322752,67932.0636136823,67988.5559149854,68029.7376760232,68086.1642776045,68110.9614209713,68147.1387044235,68173.9457881036,68217.4299244207,68225.7996360343,68252.882712962,68271.1707509157,68305.2252776441,68332.4594849169,68333.5346538857,68345.5342569197,68379.4274951489,68428.7817583236,68461.4050234886,68468.5631919827,68513.7179692381,68596.3892005803,68608.6660354352,68646.7893669337,68776.1801255508,68861.1348866761,68931.7636440594,68942.0222871568,68972.7787543325,68989.0684138921,69040.1969143813,69049.9657258991,69061.7778813156,69126.2502413831,69148.0325920821,69204.4071071596,69322.3586137331,69342.3379651734,69463.7154126977,69533.5473851867,69576.3053443388,69692.8200835138,69885.8999869605,70023.757176094,70104.1994270187,70283.4536188717,70332.5686085011,70536.2432473174,70642.8845325452,70922.9167102902,71145.4554323843,71262.8011874572,71506.1402887388,71779.2057535989
2016-07-30 11:00:00,55860.75,42107.4088057476,47794.1946683852,53118.1486238289,54238.0534364836,54592.6038787627,54683.6873540974,54721.343275354,54855.8208503609,55020.4329320142,55127.6136483224,55186.1158167354,55205.8283990258,55311.639189872,55356.0724619412,55386.5782699438,55477.4241592805,55513.4722928851,55535.1541906101,55597.7422988452,55639.4611120583,55648.5394677218,55691.6419992513,55714.1709133005,55720.7748400255,55742.9207515853,55786.6174410339,55843.4091638439,55961.017360374,56012.9935809248,56064.1958494135,56089.7146946533,56096.3843455716,56153.3027338953,56179.8712492178,56218.2151615276,56250.0512511945,56273.7930521763,56300.7813037057,56380.6488168134,56421.9805305683,56467.1466380699,56505.2882630986,56534.831240612,56573.9196427945,56608.657794426,56630.0774232598,56647.3505094372,56672.8379341685,56698.7600506706,56727.8706487853,56742.4288904548,56750.600531075,56789.0389602664,56838.3932234411,56871.0164886061,56878.1746571002,56923.3294343556,57006.0006656978,57018.2775005526,57056.4008320512,57185.7915906683,57270.7463517935,57341.3751091769,57351.6337522743,57382.39021945,57398.6798790096,57449.8083794988,57459.5771910165,57471.3893464331,57535.8617065006,57557.6440571996,57614.0185722771,57731.9700788506,57751.9494302909,57873.3268778151,57943.1588503042,57985.9168094563,58102.4315486313,58295.511452078,58433.3686412115,58513.8108921362,58693.0650839892,58742.1800736186,58945.8547124349,59052.4959976627,59332.5281754077,59555.0668975018,59672.4126525747,59915.7517538563,60188.8172187164
2016-07-31 11:00:00,49978,36700.1047290827,42386.8905917203,47710.844547164,48830.7493598187,49185.2998020978,49276.3832774325,49314.0391986891,49448.516773696,49613.1288553493,49720.3095716575,49778.8117400705,49798.5243223609,49904.3351132071,49948.7683852763,49979.2741932789,50070.1200826156,50106.1682162202,50127.8501139452,50190.4382221803,50232.1570353934,50241.2353910569,50284.3379225864,50306.8668366357,50313.4707633606,50335.6166749204,50379.313364369,50436.105087179,50521.2974475301,50555.2525224113,50635.4606516722,50675.4308632474,50684.5871778151,50723.5967892,50762.2998787805,50786.8645492009,50825.4007348275,50854.1923810582,50877.2800999996,50933.7861901791,50990.7680072742,51032.0135630778,51088.3342979966,51113.0247575826,51149.0642539136,51176.0630678266,51219.6935811598,51228.0127614741,51255.0305116086,51273.3671937598,51307.501344531,51334.762557554,51335.8286426444,51359.5046138097,51414.409959024,51463.7124119412,51470.8705804353,51516.0253576907,51598.6965890329,51610.9734238877,51649.0967553863,51778.4875140034,51863.4422751286,51934.071032512,51944.3296756094,51975.0861427851,51991.3758023447,52042.5043028339,52052.2731143517,52064.0852697682,52128.5576298357,52150.3399805348,52206.7144956122,52324.6660021857,52344.645353626,52466.0228011502,52535.8547736393,52578.6127327914,52695.1274719664,52888.2073754131,53026.0645645466,53106.5068154712,53285.7610073243,53334.8759969537,53538.55063577,53645.1919209978,53925.2240987428,54147.7628208369,54265.1085759098,54508.4476771914,54781.5131420515
