"date","load","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2016-01-01 18:00:00,52797.25,54774.1272878008,55506.8127698358,51147.4903155182,52890.6440741771,56064.1099687078,54735.9671194732,55504.3392712715,58681.7598553306,55860.635526827,54609.884260643,53287.7712514948,55749.8574814036,55215.5872501312,58913.196833603,56560.8784676504,58040.6004579484,57942.4015902639,57916.20520152,59798.096261735,54105.1288690955,60124.7747335868,59118.6810365969,56222.1525499411,55298.850563231,57109.0500097926,61123.4609027922,55086.819289137,58241.2749274249,54669.2787664522,54645.2689266252,53119.4963626286,58088.8076836592,56987.5318623033,58700.8976586896,56868.2152705114,57205.3983302896,56351.3326538568,58104.3963883166,58579.7083733499,52948.3509257624,58093.980563598,53833.7461086078,59722.06616179,54187.4783682407,54436.7298571994,58032.2846972509,62559.7426460499,57620.1251018323,59556.6932183666,54576.1409020566,53543.7872243555,57764.653244067,54310.760660973,55771.2919953071,56209.157500064,59912.4934089082,56665.4665654726,54842.9316820601,51368.6395374376,58382.1752444558,52844.4061355713,51893.605455026,57615.1117102877,53690.9962851116,51258.9697818785,56671.6403736651,50833.7546584544,55737.0716527721,56583.4302098353,53784.3863335604,56677.189806912,53742.2209429535,56964.5529812313,53836.5239899204,55373.0415184446,57013.2244420912,59619.4236301732,56232.0695384147,56277.4210505676,51427.9607175349,53775.4126400382,55485.6030416932,50198.6469810283,57949.0642674988,56048.024570952,55169.650605062,53142.0576143649,57621.9988724983,53358.0003240859,56173.2176613542
2016-01-02 18:00:00,60431.25,61089.8616300371,62250.6374035876,59948.2937583056,62728.3694571629,61764.7673084333,62285.8553336683,63111.8053378947,61605.8091847815,63682.1740027098,61618.7882779497,62910.4651653384,57639.2196093496,60829.0560072647,60566.906665801,58070.234174694,62540.3881918539,66601.8339268859,61917.8022265588,63005.2011982556,59040.526963184,62653.6355040314,65955.1034727646,66731.351092982,59940.5443758567,62183.8954917188,60318.61102494,62084.4794775435,62683.8811039498,57441.2125121045,59327.5148983156,60895.7740795041,64319.5756859953,62701.1866268648,61951.5012332737,59084.081929821,59468.875968253,64825.5407743662,63313.6964042639,61857.1318875925,62163.9765141533,63649.1297668106,60573.7373714308,55449.4031627125,64121.2533427096,63051.7603293981,64474.7418173451,62421.9733265416,63632.2005492017,60840.0087868595,60701.4399759533,60209.9493932622,56362.1514698881,62549.0520915786,66416.9374158427,59579.2004758378,60201.2628518416,60352.145433203,60409.2454532887,59589.2323707821,57399.9419775594,60040.5254507236,59960.2261922451,61581.8056287389,65442.5946100123,59184.7830823059,60614.4898928237,58764.7901567719,60656.8866410671,59790.9080225444,63521.861515226,61992.6833465056,59153.8220291001,61044.3110383166,64020.4413970688,65721.1893848852,64197.1297659106,63726.3367120452,58075.8434257119,64361.1195666509,64919.6667286607,58287.5795564278,56979.4854482712,62126.4068071794,60198.2372564086,62790.4078552255,63135.8564799725,61814.5045444624,61458.4317316886,55830.9510674193,58163.6194743138
2016-01-03 18:00:00,57888.5,53490.1818375558,56705.6886873304,62194.9934332293,53500.7914406749,55970.9960042956,57012.8386808934,58729.0430322504,62867.1062576969,56707.1420716331,54075.962407507,55825.3329906641,58073.1555815613,59159.2879480643,54593.4514571741,61506.4210376436,58316.4360362449,59594.3024352209,58768.0534262253,57882.292070424,52638.6856789555,58903.3764153695,63345.5632427016,60025.7154579075,54638.1314480761,55453.851146091,57707.5911038894,58039.1093236231,58240.7675579694,58749.6649380932,57458.8460561397,62068.8045837377,53010.4119034363,56360.510884204,54931.4042594023,59467.6018215142,59579.2849751878,56385.1936839535,55671.6547266582,60126.7829343938,57250.9986545919,56245.155846056,57534.6349706062,61918.1113285322,59994.0575393311,56943.8280350291,64503.1475606442,61182.3738122332,56992.243244934,59501.0615237985,55380.1246468366,54684.8512583229,59425.5105808745,57796.3794150541,56666.8537713899,54951.759232098,58682.32745322,56610.2900179163,55538.3640965322,57900.7504027247,59059.4772064316,57988.9073763185,59094.8691886975,57365.2869369213,55060.5483374969,58845.489380568,56929.6052582057,57875.8911742571,53856.4204317285,58858.7771715446,59122.6655445334,56738.4693258292,55671.2946068412,57474.2944288763,58344.0709912664,58174.2755040267,56814.2757157352,54057.1605098949,56479.0232741255,61124.801498708,58034.3612083683,58463.6080383232,56005.5289111964,61082.3902734765,58675.8535396597,56238.910837241,62737.0910837387,58765.7019550266,56776.7259089267,56001.411608013,53914.9679707929
2016-01-04 18:00:00,70768.25,68419.6853658407,79465.7009609602,79773.919901937,74950.5818311993,76671.3709278857,73020.8365683108,70907.7858374914,70015.5894259477,66540.1873835322,77497.3982761321,78297.0399692998,70507.8689844667,77767.3937936699,71372.9783203612,68217.8416299465,71402.7995407594,78236.212728646,70528.6980884652,66618.5728806806,75490.9765858938,72318.0136743883,73427.5909645911,70321.9625209532,71188.3443286555,71475.2916318206,78905.9266868824,76515.4900116808,72508.4435203975,70645.952322618,71137.6325879501,79716.9585434409,72415.8925520815,72919.9766585383,72035.7376071465,73246.4476866405,71164.1339239396,73418.0391058711,78369.0007737515,76362.895720619,72511.5586288085,78338.4222470632,71287.6882719777,75499.1981408321,77357.7673490291,71841.7472923039,76893.0285052303,74922.4102023745,70912.8219448224,77717.7926607116,72775.3146395106,74300.0432283778,74593.833443348,69007.4874864815,74039.2685279844,67239.7283652947,70646.7247760985,79897.7308966496,67779.8313858031,77338.4126479046,75310.4182872203,70241.5959136954,75345.0455690971,75706.361146144,73246.7961681623,79398.5532438461,75593.6592873433,76110.1330902434,72934.4239357327,74901.9885943449,69629.2997871142,71806.1203840061,74467.9272861574,69805.0470527561,68712.117115112,73123.8355569667,69851.4253775472,67988.2567130797,73057.339002452,75211.5019925891,73572.4801378761,76118.0226302713,71752.4976594169,72295.8019032312,79986.8263327779,72908.6368137408,72451.0137461619,69568.3492898009,67536.8394736602,78574.944152192,67808.1595760732
2016-01-05 17:00:00,71862.75,77758.4725509896,78729.4197144153,77320.8261581859,73265.1146383618,73794.1537677192,74702.183671053,81637.0265634417,78429.3852248365,79494.8040283573,76667.1827737218,79237.5142035054,73006.6003329749,78942.9657289826,77108.9627174513,76022.944326213,79391.9520798712,76452.7092110848,79606.175891076,78997.6556233457,79583.3758603527,78645.3398521931,80625.6609501195,67497.6948466989,77509.7213327267,76340.6191280419,72822.8334677697,71603.4970586388,74116.092731334,78304.3946360961,83865.0587943563,75935.1603070933,76621.8341310982,77889.9796850476,71633.0937049768,72389.9723144701,73000.4060372285,70360.2101520193,70102.8117808212,76768.2903708145,74493.5461939165,79759.82523883,70053.7836241596,73651.4868661262,73648.8410928021,73583.3604129869,76432.479552189,75335.0133721161,76205.6300559792,70586.9417616379,74084.4963576447,73669.4990322453,79598.7412250949,75406.9915113831,77017.2959081334,70351.4156959918,73701.0992380152,82063.4114426109,78557.8741315798,77094.828272882,77880.5917191187,78816.7246907093,77865.9566506386,75752.363619982,78799.5084684804,79683.4262705611,71024.0392697096,74605.1588517899,77290.0281819879,79197.6092914958,72584.2891161843,74414.3455441126,78343.8052758716,79322.8413093171,83343.9784324698,73596.3822044365,77549.7669656052,73777.834808586,75020.8765113968,77228.4585348227,75242.2948645468,80727.5929871763,73499.3803217771,74802.3058621336,67659.478138785,75577.0905667192,70634.5988046382,75469.6616816452,73675.4817658071,73466.285625319,77669.4806849123
2016-01-06 17:00:00,68980.5,67714.889931024,64966.5760834909,64933.3916908172,71008.1743069299,58590.4948038403,57092.8178159445,63451.3627198681,67122.5551097501,63518.6639458003,63021.7592696173,61580.6840284458,59864.1065890587,61410.8312168377,66591.0054835782,60556.9555489052,60762.4580223557,63470.9364401496,65702.5229512013,65287.6439183892,61807.8824129429,63327.4462890916,67015.8724378615,60701.130501422,63363.1634261201,66910.1217837937,64634.0536189628,62843.4208067252,60513.5050846656,63769.6437479361,68115.4157210555,67463.1848968626,69658.8293350004,64008.4338560548,60216.5836296888,61246.6580536917,64541.8095322434,61716.3545552469,65994.180562955,64836.5725198653,63507.5331328764,62379.6228591858,63216.9842992174,69273.3230286853,62119.9608791528,65034.9129156699,63354.2391184908,63474.1490663237,61202.0971384239,65700.1567404653,64873.227321673,61126.3782404545,65554.584061215,59809.2960551117,61837.4246480397,59141.4198988935,60342.2130306323,63678.1263547548,63665.8654108045,62989.8403573774,60317.533664948,66832.5145664337,69924.986906638,61712.4660681349,68383.3407085728,63823.8873731627,63725.1509028804,60942.5812993369,61639.9146147194,61637.631042434,65382.617727635,64454.1516027411,66054.6206809198,59900.6120801234,66824.7234301268,64108.5383657741,66072.7445158063,64590.9439340161,61476.0437426306,66190.2111454137,61560.0566378224,60593.8257212246,68162.8121846904,67206.7782479382,64795.4710046357,66245.4483179867,64865.4051094419,67895.7924098042,66865.9408293708,63405.5751174731,59950.6419375561
2016-01-07 17:00:00,74199.5,81387.853868307,80373.0361025178,77568.961740658,76944.3804990552,73882.7448224992,81878.1980112475,81957.4571829869,76617.8182302543,76581.1685789127,81244.8156978838,75229.1732148461,78942.0614029857,83951.4312216076,77294.123192935,77902.9871707157,74369.8644337555,79379.8678382809,77049.52893103,82836.8863833792,75215.6637592005,75765.3987022847,73571.4505919675,78349.5540962835,81663.3229207345,76416.9140430877,76634.1448800045,82488.6040020115,85288.349451161,78138.6378685815,77824.2311007259,85655.6650165054,75768.8691863634,89837.3183403733,79251.0535396919,80643.1323515852,83162.9460051268,72482.9305233802,77283.1094866536,79364.3529500214,79034.0559121938,84792.0279360673,86044.4271281007,76550.9872594974,78302.756076504,81173.9030473408,73269.970505551,81868.1146138479,83601.4935431546,80467.3553528658,78910.6255036975,82454.3251506187,86912.8673106849,82087.0913136154,80437.2122763134,84012.0639315835,74244.125763525,80184.4910759047,79947.142885835,78896.1587960475,78685.3751633821,73681.0380183547,84352.7690864787,73754.0842663848,74818.7534127403,83498.5890760117,79622.1500088543,79814.6620026317,76848.0243071753,76097.7165579785,79701.5216715783,75889.9186225618,83902.4275414478,80340.8593508297,86145.85010863,83802.562317687,80292.9285291761,79940.210220432,75111.5330691196,77385.8007616073,77767.3709490955,83001.9745797635,79722.7024700889,78617.7978272363,86553.8504785569,84361.3061250226,83944.4793543373,83845.8759145704,78513.8704196497,89819.1198905935,79240.7280932063
2016-01-08 08:00:00,71473.25,79718.6742752967,74972.9132208495,70774.3947353106,74184.109929753,73492.9376240914,78178.5325050986,72595.5294699913,68918.5292626298,77298.2421532867,71547.0953476551,81634.8510600363,74736.8605906374,68396.724613027,80978.3001159156,72112.7349478916,78304.8981198974,82288.7809488972,74928.5234611031,76179.4004957286,75042.3319629178,72568.7934348435,72595.7434154133,73065.9221116475,72766.612727235,72252.7899460075,75293.8843725719,82546.5238052086,74774.7824784335,85016.8033762848,76452.0270058514,77639.2173763948,70601.3277797406,70355.5159236214,80135.0265150207,78081.488643375,70205.586355444,71949.6259874004,73836.7901255945,74439.5494855042,73814.9851637117,74475.1955731,78698.0307712181,82220.3719503095,75342.5658072995,74374.3546461067,71179.9809830463,74027.6176787641,71203.9879339019,68927.7502087095,75411.7589939906,77834.017571255,69155.3934418835,71758.428569844,73646.8912067789,80890.3194700874,78308.3002170061,74763.2267303084,72873.6809906127,69984.0985825166,71343.6229332451,78055.214508354,76375.2980524725,65363.8824832943,74103.3190211703,74507.0643322213,74418.4610767638,65990.31457424,78074.6886504873,72211.3652170831,77894.4433228914,73165.6639699425,77811.3832553124,73202.5838324924,71638.6632104893,76963.9840081441,78435.9281816326,72177.1932861646,75857.7317597762,74173.9498356943,72478.8856725308,72369.4490397886,73573.8204534211,75088.6794015993,76248.835559207,74220.7151262119,82155.9408838893,75123.6605712635,76584.0120350099,78434.6061733856,75672.7439309817
2016-01-09 18:00:00,62274,61598.1657136144,63593.3117821545,64608.1777798878,59232.4892457455,64220.1740733784,60153.4554792188,62531.2403099345,61946.6094469189,60275.9797341338,61992.3416899262,65291.0823373749,64801.6340720862,63340.425736866,65749.3734739809,65345.7254464124,65219.7477930655,64577.7541704645,62673.7326780964,64869.628395129,58236.1654381637,63224.3316605678,64187.3480396982,58930.4391827246,58518.7704307093,67008.8936484922,64436.4692831044,61053.2801786377,62451.8058272537,58970.5999018965,64361.989665773,59956.2742455386,61752.2099972644,65695.3575989167,63697.7156554645,62606.3127619181,60327.6213461374,65984.1916285299,59934.234350568,59727.641679874,61822.4257457944,64813.1032532378,61572.6189642651,62708.4875160631,62922.6343675453,67195.5069117086,67987.1271633866,64051.9139289723,62319.1746657451,63654.6832073747,62708.8429559457,62507.3363140885,61223.3816968486,65961.3457213713,59556.4728779146,60592.4795545654,66984.8431729145,58301.1467889462,63510.8932777257,60043.1696845837,61222.3999703024,64845.6975734314,64294.9669117148,61079.6759013672,57803.3021538852,66435.0677588064,66918.5548773357,59403.6660663434,64728.935771065,59797.2996497198,62898.5193777751,64411.7525386185,65161.4617420455,63933.7260982056,67249.9130551852,67869.0356486817,63263.1936100015,60351.4351441711,64772.6123008308,62939.1004248864,62343.9730109664,69636.142697814,57990.775102956,62820.244207899,60624.0636390817,65092.2764872325,61784.039310219,69869.3227931064,60799.1151752556,61533.9870965557,60860.9667289564
2016-01-10 18:00:00,59470.75,55032.1223577919,59854.7534821863,60834.5601567179,61538.6286306168,62213.4634311835,56801.2637752819,58816.1610593455,60115.5202043953,61051.9703984571,59516.9980452873,62188.4839479375,55765.5625967406,55442.3456577883,65573.3949928509,60467.4938635586,56387.6650219404,55862.8299896511,61132.2419068359,62418.2530715517,55378.4117169376,58515.4507323962,58519.9180381883,55855.3007909401,55476.5353670567,57711.2406645729,60735.4271763325,56978.4370303249,61694.1621221092,55026.3954079224,53904.9223440648,62828.5576676063,62452.6549227732,58171.4538995009,60269.33793017,57534.7803486653,58672.2470102471,60596.1673978149,58423.0352298344,60928.8039081746,54673.813417164,56389.8143322508,58229.945184627,58892.7816548447,57429.7221194713,60025.3170631808,58879.553262294,59278.8877331615,56840.396481768,58422.2568437188,57223.5932694448,60520.8901846876,59765.6614192308,54940.1886649928,61829.3169709666,59660.6427531504,59081.7953967079,59260.2966494884,60372.0233819695,55829.6840338597,58277.5096846407,57501.2137037277,57560.1616004931,54684.8610883899,58799.1318219254,58304.2883967693,59162.1584667819,60223.2084595061,64430.3030362764,57531.3175240634,57065.2937833514,57817.5023855226,56829.9297772491,62132.3719411832,58371.3396833143,54423.8192135503,54333.5661625771,58995.5044477128,59543.8276397143,57071.8637982663,57581.2961866437,62678.5345657194,61503.8321502561,52593.8263956979,59454.0116217853,55634.3960786969,61018.378513533,59314.3924656271,57066.4228130259,59205.1679950688,64246.697820073
