"ds","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2017-01-21 18:00:00,65559.5,65941.2589398269,66005.9759533146,65879.3544146196,65206.3764996886,64759.0554729197,65984.7820179276,65268.2108600636,64997.767071594,66656.7899686158,66243.3092718244,63975.3888390132,69678.112168689,66572.4947577521,66094.4436286767,67153.7462377141,66987.5078982574,67691.9236505883,66987.1338787552,65965.520672228,65119.3546619743,65143.4294989298,64803.7500403684,66653.1138988084,67385.7593133747,66040.0811454066,66903.5945748258,66082.1797294414,64523.0644101534,64423.9965444068,65690.3155944228,65232.164306958,64822.5166905027,65064.0536847908,65896.7668029325,64861.7527158561,65470.7352523373,65487.3161549261,66408.3625148975,67292.0757140181,65586.6899718153,65421.6152168677,65022.4577330168,65507.8396568548,66505.7723575323,66333.9323571168,65766.6439179067,67108.4258954071,64710.0592614597,64353.470618023,64507.5271751013,65407.0596129757,64392.4623660148,64081.3050284658,64587.2090747892,66719.63581998,64633.5975267951,66122.364458136,65620.0302085619,66293.5216891724,67028.3450848175,67466.3448506936,66208.6034534843,63788.4035595807,62339.6452963206,63186.3279067693,58581.1005624203,61063.2680520426,62881.515661198,63465.8145748509,63612.0331928174,64733.9365914231,66451.8372133675,68175.7730325759,69934.3065592648,67825.423036691,66362.5003953627,69272.7978639788,68223.8427058523,67661.9148876089,70053.6470539926,66845.2179686979,66632.5240793826,65710.1045583157,67252.2788066142,64249.558706996,64907.9848647167,65372.5900723097,65292.3582017404,65440.7747656408,66035.9066576274
2017-01-22 18:00:00,63096.5,62583.0649476217,62472.0873012668,61810.4776933406,61622.0017009417,62556.8816875732,61870.671588123,62091.9038605822,62455.9673828327,62164.2825601905,60553.7022253958,65590.284233305,63150.8081441347,62672.7570150593,63732.0596240968,63565.82128464,64011.4951696221,63602.3396517796,62650.9934073458,61874.5180827607,61860.6152614157,62282.6210030296,63231.427285191,64037.8659539536,63644.1345320435,63481.9079612084,62660.493115824,61584.50174865,61298.2739038231,62321.8984837465,62001.1427151997,61440.0661022387,61686.5645784068,62515.8336251642,61788.2374235949,62424.6054185946,62086.1530432374,63167.8274506492,63870.3891004007,62194.6625893625,62243.1859054382,61642.3670711734,62134.4233166087,63084.0857439149,62912.2457434995,62373.2055285885,63686.7392817897,61369.4935306805,60931.7840044057,61121.6652609727,62019.0881520234,61002.3099307894,61154.5985637588,61211.9109131777,63297.9492063626,61288.3726478423,62700.6778445186,62226.2306290524,62871.835075555,63606.6584712001,64295.856670678,62934.6516578799,60382.9834232532,58917.9586827032,60256.2832614188,55279.1241309967,59628.2171108222,59459.8290475806,60044.1279612335,60461.2639634295,62505.4495669756,63030.1505997501,64714.771822271,65203.1870168056,63051.0774846048,63319.8390108411,65851.1112503614,65014.4207305111,64240.2282739915,66631.9604403752,63423.5313550805,62994.5901898954,62322.5800251052,63830.5921929968,60827.8720933786,62333.562779188,62134.9738850054,61950.9034586923,62173.884980627,62838.5926356408,61051.3255770564
2017-01-23 18:00:00,77123.75,76044.6807067394,75335.5860738704,74907.1718072808,76109.397720227,75395.7799686528,75125.8794999292,77494.4821993955,77081.001502604,74590.0162311212,80515.8043994686,77157.602733285,76783.4902279733,77274.9900177496,77090.9296651698,78529.6158813679,77045.1381118779,76310.0267231482,75914.4824690935,75309.7982666011,74925.9384574151,76756.5356657208,77489.1810802871,76490.8869429966,78856.235110221,76187.3279150411,74690.6308417016,74610.9489420137,75870.0656848191,75451.5365657589,74965.1744827685,75211.6729589366,76068.9424391404,75020.4698742973,75611.2614237672,75659.5316971385,76522.0660134958,77395.4974809305,75766.7708821569,75371.632626976,75167.4754517032,75690.1117387277,76621.6083805298,76447.5636819591,75982.776181532,77211.8476623195,74837.3583583356,74456.8923849354,74626.4861770658,75609.9490049353,74638.5651033238,74567.4322417484,74737.0192937075,76823.0575868924,74883.8865018918,76261.4728522514,75793.7373613352,76408.1879845348,77131.7668517299,77569.766617606,76846.5171943526,73891.8253264931,72729.3329087444,73469.2047665351,68684.5223293327,72056.6536932919,72984.9374281104,73569.2363417633,73715.4549597298,74933.8861494453,76591.1909915519,79013.4652633555,79859.0445096972,78476.1229010409,76480.8472657782,79376.2196308912,78958.3555700277,77765.3366545213,80418.5343135479,77280.8518724015,76557.262029815,75942.0669075394,77355.7005735266,74352.9804739084,75025.6473735673,75544.1965325532,75510.4813798881,75590.7379218385,76139.3284245398,74819.2662428951,75476.0118392221
2017-01-24 11:00:00,78217,76522.223282331,76098.6598757879,77185.735614538,76717.5095923835,76220.6941331348,78515.263852938,78101.7831561465,75610.7978846637,81536.5860530111,78178.3843868275,77804.2718815158,78351.9826378322,78190.8170200336,79550.3975349104,79084.095171153,77339.1915292858,77542.365249159,77487.2426935281,76437.1594308875,77854.6250464974,78583.9957134928,78290.6173714187,80415.8625369842,77286.0285817629,75868.7874827045,75705.7635752193,76981.1462805153,76520.1394321316,76059.9891159741,76308.8763260223,77152.4556958325,76106.2212648347,76719.4797189924,76757.736400118,77632.8909634796,78490.3121141361,77280.8227843801,77478.5029190445,76262.2900849088,76796.2598248553,77717.057360063,77544.9603684078,77348.6287605509,78306.6622955251,75932.1729915412,76387.7403923216,75721.3008102714,77241.1095766782,76862.3135782074,76252.426464835,76422.4555003818,77939.1056392227,76665.4209363188,77368.9598372181,76981.4360687917,77510.2322321067,78226.5814849355,78664.5812508116,77867.2988478951,75074.5068648501,74476.4074725833,75670.0505429087,69793.3422918597,73514.6145363806,74079.752061316,74831.2748659446,75292.8230436812,76393.8848305208,77686.1619958954,80034.246916898,81982.8896808502,79874.0061582764,77949.6453349649,81208.5107700786,80678.2170706615,78947.0644939796,82533.5457858802,78715.199147337,78724.9831108231,77596.4448710437,78502.8397172992,76213.9160666303,76224.7698874638,76723.605424622,76610.9543019479,76685.8690972798,77237.2958279702,76539.8739679,76573.6941776634,77212.0919853676
2017-01-25 11:00:00,77808.75,76575.400299457,77464.1806847633,77688.8698324799,76416.1551654404,78686.3149620626,78612.2233647564,75808.2227820055,81707.6371621358,78349.4354959522,77975.3229906405,78551.4976243988,78383.5241532322,79721.4486440351,80104.1081959948,77671.5273341614,78174.8885481969,77939.9238951528,76726.1768202457,78047.3321796961,78806.6703295208,79172.4437364028,81033.8562777959,77430.0029611688,76864.9799212889,76326.7496598913,77499.711056122,76965.4192766183,76616.7906715853,76504.5597073262,77743.3874108173,76519.3450006845,77524.6576071434,77327.5120980306,77772.463243532,78683.0192473347,77765.8835683546,78435.7196681399,76481.402775064,76957.7165821974,77909.7644932616,77702.9393653053,78144.4610249754,78499.3694287237,76352.9044150267,77280.5088335801,76010.2090110413,78250.7317324295,77402.1185375239,76818.454108734,77372.0328073289,78131.8127724213,77249.9364963308,77626.9715721172,77974.1920927584,78266.0424348279,78419.2886181341,79027.056576603,78288.3139713344,75963.3109048136,75210.5084727406,76082.0745970617,70469.5136523388,72423.5131143071,74272.4591945146,75449.2686067563,75801.7811995327,76164.0478409545,77878.869129094,80476.7279490606,83002.902705692,80894.0191831182,78869.5491426256,81826.5045108903,81354.3884311405,79634.7780453399,83151.5395266919,79583.1992281948,79744.9961356648,78508.5228092256,79522.852742141,77144.9926008223,76844.4296416932,77584.9354303457,77006.3390121204,76924.2654065534,77406.4132418205,77202.6036300047,76726.2482365147,77393.1272127932,78721.1396891326
2017-01-26 18:00:00,77819,77306.971763662,77573.8426253455,76109.1490965128,78062.5631305003,77954.5616849881,75319.3300546886,81083.8853305735,77725.6836643899,77611.2472666226,78695.9045895904,78454.6313369632,79097.6968124728,79998.9873563176,77522.7158544851,78039.3401852982,77801.5471593404,76764.7975630075,77709.2310811528,79066.1262073262,79226.2446097031,80345.6689998501,77130.7115150068,76746.0271796696,76223.5291676413,77378.2711770579,76914.873405178,76474.0056193284,76158.632314704,77677.0031129757,76706.960858415,77404.4511911554,77198.5822190927,77434.3621449887,78344.9181487914,77640.3030792643,78330.5988284627,76330.5431487459,76589.9846930355,77735.9108132149,77519.2899231373,77974.8928949577,78170.1559033338,76258.6172993539,77152.3686318563,75960.7013743078,78145.6108927523,77287.0505138513,76684.0266158299,77231.4907457744,77869.0712530812,77113.217946467,77489.6424739457,77834.8030554756,78382.1413445405,78081.1875195908,78921.9357369258,78183.1931316572,75863.5757411108,75105.3876330634,76008.3838104452,70728.9695301442,72318.3922746299,74239.1309232255,74814.5239779944,75696.6603598555,75845.1348300443,77540.7680305508,80371.6071093834,82897.7818660148,80788.898343441,78764.4283029484,80865.5707050639,81613.8443089459,78910.3411679377,83074.0230524661,79478.0783885176,79639.8752959876,78403.4019695484,79417.7319024638,77021.9947857136,76718.7109385939,77441.2809757626,76878.6633344426,76762.1700690325,77071.3211091634,77433.8706341724,76470.9972450966,77057.5939960124,78616.0188494554,78069.7677085197
2017-01-27 08:00:00,76199.75,76442.830713279,75270.37601281,76069.7583834383,77786.9007931577,74417.9215152106,79034.7076966991,75952.0901435991,76734.4486713217,77315.3648726551,77090.417387022,77572.7325577721,78867.9754442511,76391.7039424185,76926.303919185,76870.9992371071,75967.024750164,76018.7892870277,77498.3160910926,77936.3109846591,80236.7237127934,75843.572646688,75608.2968899495,75694.4808406309,76228.0479330196,76060.3971241136,75582.1946373495,75259.1310552854,76459.55466306,75489.0648974227,76263.5783043783,76044.3760818364,76643.7920317461,76942.1119929972,76897.6527096535,77199.5869163962,75447.0037345512,75482.6335056658,76944.3379830776,76405.0581236661,76843.8809828911,76893.6067620047,75116.771663283,76013.8037445871,74833.6480432964,77014.5989806858,76258.5962553725,75638.4850985755,76091.3793462869,76738.0593410147,76286.6236788339,76358.6305618792,76703.7911434091,77029.9096830842,77017.7532509752,77874.801099347,77071.5165465942,74732.5638290443,74163.7823555159,75076.4146113853,69075.1979620411,71187.3803625634,73308.5830009922,74623.9460351576,75014.6349395697,74564.2336214699,75837.2713298585,79240.5951973169,81766.7699539483,79856.6115036133,77633.4163908819,81001.1819392916,79960.0727408428,77259.8458415346,82326.2169550932,78661.3404749739,78508.8633839211,77272.3900574819,78286.7199903973,75890.9698365871,75730.0635237316,76688.3209510637,75953.0705486087,75628.8471695452,75748.2846419751,75976.3432673489,75565.6974782678,76076.5835620327,77485.0069373889,76938.7557964532,76245.1259247999
2017-01-28 18:00:00,66129.75,64263.1773768031,65608.460512734,65194.9798159426,63229.6515658643,68629.7827128072,65866.3027688291,65335.0379860065,66406.6044942793,66245.4388764807,66686.0400398046,66297.9587011037,65218.3789287931,64376.5153114167,64449.7475882293,64061.267130966,65915.5738420592,66638.6175699398,65366.2942415117,66495.4663263783,65277.6218564471,63848.2029965626,63763.9980856554,65019.5021744718,64484.7447466398,64097.2277347983,64358.6481364958,65194.117196392,64127.6187501724,64729.9492769948,64740.4909537269,65649.9361304037,66544.9339705832,64850.8816813024,64629.5701732488,64303.7510413152,64774.1015754395,65788.2018059599,65581.2814986499,65132.2126711847,66361.2841519722,63994.6965389064,63610.78922845,63832.8079507596,64665.5761583949,63691.5108231242,63339.0113428645,63938.6617029309,66008.6686348507,63986.5105729368,65346.1647232485,64891.4122275575,65542.1310061208,66281.2033413826,66719.2031072587,65373.3611005883,63078.8804667213,61592.5035528857,62439.1861633344,57833.9588189854,60816.1382514859,62134.3739177631,62718.6728314161,62864.8914493825,64045.1506518361,65751.4839550885,67127.4435766941,69196.7532108009,67087.8696882271,65608.9583977583,68525.6561205439,67534.8923221489,66914.773144174,69306.5053105577,66100.0806156811,65938.8466407737,65091.5033971921,66505.1370631793,63505.8130976684,64162.5218096231,64625.4483288748,64545.2164583055,64714.1479275757,65258.8342098797,63654.1813399117,64521.0691166287,65237.6402744927,65698.7921402541,64932.3387375522,64962.9628148808,65491.9767317613
2017-01-29 18:00:00,62740,62750.8985012347,62413.6316983022,60830.9250076014,65866.1025452246,63484.5088312485,62936.3114277436,64007.8779360164,63846.7123182178,64287.3134815417,63638.778121751,62819.6523705302,61959.9215782329,61977.7887531538,62133.4440299934,63547.9357090153,64239.891011677,63605.7744809997,63767.9373219148,62878.8952981842,61452.602232346,61365.2715273925,62620.7756162089,62051.0210299664,61698.5011765354,61905.0244830523,62795.3906381292,61729.5952311552,62331.2227187319,62341.764395464,63262.4942131997,64146.2074123203,62452.1551230395,62094.5329343718,61864.4508185402,62375.3750171766,63415.9024290713,63188.0640554191,62733.4861129218,63962.5575937093,61595.9699806435,61212.0626701871,61434.0813924967,62266.8496001321,61292.7842648614,61146.8029284032,61539.935144668,63611.493565693,61587.7840146739,62947.4381649856,62492.6856692946,63147.6533874746,63882.4767831197,64320.4765489958,62974.6345423254,60680.1539084584,59193.7769946229,60215.8423107852,55435.2322607225,59587.7761601886,59735.6473595002,60319.9462731532,60530.730132629,62384.164467961,63359.9040558345,64710.6558325177,65479.0053287252,62623.8727333308,63308.6224668967,66126.929562281,65077.9744041545,64516.0465859111,66907.7787522948,63731.0234417371,63061.3158599224,62692.7768389292,64106.4105049164,61107.0865394055,62242.180052396,62226.7217706119,62146.4899000426,62315.4213693128,62860.1076516168,61255.4547816488,62281.4575331129,62838.9137162298,63305.9689116697,62533.6121792893,63036.7243888367,63256.4620577988,62122.3425583658
2017-01-30 11:00:00,76882.25,78322.8815860221,75720.7982411671,81681.0832522057,78440.2688704867,78011.7960470897,78659.7610521326,78451.4996854566,79694.894734105,79126.7035865893,77551.569906681,77311.5217752302,76957.9617384114,76267.3279399419,78152.7230762541,78844.6783789158,78652.3213454963,79771.7457356433,77464.8950188556,76054.2638055385,75970.0588946313,77241.8289459383,76664.6366313262,76303.2885437742,76509.8118502911,77355.6858684735,76333.6795591483,76939.6922987647,76950.2120753474,77867.2815804385,78750.9947795591,77062.6575713222,77430.5502265219,76469.238185779,76984.7068520325,78020.6897963102,77792.8514226579,77344.0650317099,78567.3449609481,76200.7573478823,76424.7069236774,76038.8687597355,77545.4674000726,76677.915988206,76126.2665283617,76226.7834568276,78216.2809329318,76192.5713819127,77541.0987949824,77135.8860212139,77834.3912802019,78487.2641503585,78925.2639162346,78053.6003892176,75284.9412756972,74245.8155209879,75043.727457777,70155.0462659374,73467.1086721613,74340.434726739,74924.733640392,75070.9522583584,76251.211460812,77964.6914230733,80178.7441160926,81810.5729872064,79893.9068156491,77821.4194609037,80731.7169295198,81039.9210447391,79120.8339531499,82500.0997882593,78426.5581423972,78552.6664171792,77325.2849543729,78744.8043114318,75934.7859069052,76368.5826185991,76834.3768430865,76776.0316540936,76925.5135061789,77443.7010834686,76859.9473699656,76713.3593248296,77424.439737769,77910.7562789085,77216.2473261655,77173.2884087508,77666.1032271612,76731.0171060171,77752.4407547134
