"date","peak","peak_dis.1","peak_dis.2","peak_dis.3","peak_dis.4","peak_dis.5","peak_dis.6","peak_dis.7","peak_dis.8","peak_dis.9","peak_dis.10","peak_dis.11","peak_dis.12","peak_dis.13","peak_dis.14","peak_dis.15","peak_dis.16","peak_dis.17","peak_dis.18","peak_dis.19","peak_dis.20","peak_dis.21","peak_dis.22","peak_dis.23","peak_dis.24","peak_dis.25","peak_dis.26","peak_dis.27","peak_dis.28","peak_dis.29","peak_dis.30","peak_dis.31","peak_dis.32","peak_dis.33","peak_dis.34","peak_dis.35","peak_dis.36","peak_dis.37","peak_dis.38","peak_dis.39","peak_dis.40","peak_dis.41","peak_dis.42","peak_dis.43","peak_dis.44","peak_dis.45","peak_dis.46","peak_dis.47","peak_dis.48","peak_dis.49","peak_dis.50","peak_dis.51","peak_dis.52","peak_dis.53","peak_dis.54","peak_dis.55","peak_dis.56","peak_dis.57","peak_dis.58","peak_dis.59","peak_dis.60","peak_dis.61","peak_dis.62","peak_dis.63","peak_dis.64","peak_dis.65","peak_dis.66","peak_dis.67","peak_dis.68","peak_dis.69","peak_dis.70","peak_dis.71","peak_dis.72","peak_dis.73","peak_dis.74","peak_dis.75","peak_dis.76","peak_dis.77","peak_dis.78","peak_dis.79","peak_dis.80","peak_dis.81","peak_dis.82","peak_dis.83","peak_dis.84","peak_dis.85","peak_dis.86","peak_dis.87","peak_dis.88","peak_dis.89","peak_dis.90"
2016-07-01,69959.25,50650.3556593407,53529.4471771978,53884.5248729396,54049.4609134615,54657.7912706044,55567.0386092033,60371.3359134615,61728.4022767857,62476.5411847528,63817.8503365385,64397.7637122253,64659.2196703297,64696.3732589286,65379.2469711538,66164.1905666209,66330.5423866758,66511.6767445055,66672.9667513736,66984.308956044,67065.477396978,67125.3383173077,67244.7298866758,67434.9384203297,67463.8926614011,67531.2077369505,67680.9469196429,67755.1751133242,67789.6493149038,67880.1772596154,67942.235467033,68088.971043956,68153.4923351648,68172.2319471154,68216.7394162088,68310.4128365385,68336.443228022,68361.5460353709,68459.1713358516,68545.6684598214,68610.6046720467,68638.0260748626,68674.9585096154,68712.3166826923,68823.6339903846,68894.5386950549,69005.6534787088,69091.0216105769,69170.485467033,69232.6424038462,69262.0074450549,69311.8183138736,69365.0004910714,69444.3487912088,69481.7589903846,69498.3947218407,69538.9843509615,69589.5805906593,69688.072606456,69749.3053502747,69863.0368921703,70005.9204773352,70084.2652146291,70208.4218509615,70409.4407383242,70472.655625,70574.3547149725,70636.6958035714,70731.9777403846,70829.0849690934,70932.0829086538,71022.7490315934,71168.525989011,71319.4974004121,71668.8746325549,71770.7858619505,71919.9962843407,72172.5125961538,72440.0663392857,72947.3587929258,73191.7437946429,73398.1235164835,73611.1546806319,75300.6748128434,76154.2043028846,77273.0397252747,78654.5828228022,79652.7484735577,80258.321876717,81841.1414165522,84952.8417084478
2016-07-02,58278.25,39994.1726593407,42873.2641771978,43228.3418729396,43393.2779134615,44001.6082706044,44910.8556092033,49715.1529134615,51072.2192767857,51820.3581847528,53161.6673365385,53741.5807122253,54003.0366703297,54040.1902589286,54723.0639711538,55576.5000975275,55784.6486208791,55947.0716978022,56067.8120824176,56403.8248743132,56413.0546991758,56559.2899326923,56719.1426112637,56792.0057637363,56853.6693111264,56954.1316222528,57080.8799910714,57110.8160315934,57147.2791153846,57267.0485178571,57323.8783598901,57484.4690192308,57506.4691050824,57525.6695686813,57623.9252348901,57662.3148725962,57696.0068368819,57720.4316737637,57863.2989041896,57930.0462857143,57959.4418042582,58003.9245480769,58031.0014711538,58117.4719381868,58210.2351593407,58273.1118763736,58393.7355885989,58478.8518317308,58558.9060041209,58592.9155336538,58633.0812273352,58669.5637994506,58752.7918214286,58815.9661002747,58835.5003550824,58861.2886449176,58892.5140913462,59004.2602709478,59056.1300769231,59137.7184182692,59270.7535315934,59349.7374773352,59428.0822146291,59552.2388509615,59753.2577383242,59816.472625,59918.1717149725,59980.5128035714,60075.7947403846,60172.9019690934,60275.8999086538,60366.5660315934,60512.342989011,60663.3144004121,61012.6916325549,61114.6028619506,61263.8132843407,61516.3295961538,61783.8833392857,62291.1757929258,62535.5607946429,62741.9405164835,62954.9716806319,64644.4918128434,65498.0213028846,66616.8567252747,67998.3998228022,68996.5654735577,69602.138876717,71184.9584165522,74296.6587084478
2016-07-03,50776,31338.4956593407,34217.5871771978,34572.6648729396,34737.6009134615,35345.9312706044,36255.1786092033,41059.4759134615,42416.5422767857,43164.6811847527,44505.9903365385,45085.9037122253,45347.3596703297,45384.5132589286,46067.3869711538,46920.8230975275,47128.9716208791,47291.3946978022,47412.1350824176,47748.1478743132,47757.3776991758,47903.6129326923,48063.4656112637,48136.3287637363,48197.9923111264,48298.4546222527,48425.2029910714,48455.1390315934,48491.6021153846,48611.3715178571,48668.2013598901,48828.7920192308,48850.7921050824,48869.9925686813,48968.2482348901,49006.6378725962,49040.3298368819,49064.7546737637,49207.6219041896,49274.3692857143,49303.7648042582,49348.2475480769,49375.3244711538,49461.7949381868,49554.5581593407,49602.8564938187,49693.7934787088,49779.1616105769,49858.625467033,49920.7824038462,49950.1474450549,49999.9583138736,50053.1404910714,50132.4887912088,50169.8989903846,50186.5347218407,50227.1243509615,50277.7205906593,50376.212606456,50437.4453502747,50551.1768921703,50653.6350824176,50752.1952214973,50818.2159975962,51039.2293904533,51130.7454017857,51202.9294677198,51282.9651820055,51354.6592925824,51441.1749175824,51599.0197836538,51655.0752438187,51833.6495913462,51928.6242651099,52096.4814938187,52422.1042616758,52503.7571634615,52799.5095673077,52998.545625,53364.8431868132,53846.0672596154,53904.2321806319,54119.0075068681,55281.707970467,56842.3443028846,57961.1797252747,59342.7228228022,60340.8884735577,60946.461876717,62529.2814165522,65640.9817084478
2016-07-04,68712.25,49939.0356593407,52818.1271771978,53173.2048729396,53338.1409134615,53946.4712706044,54855.7186092033,59660.0159134615,61017.0822767857,61765.2211847528,63589.7550103022,63878.1696737637,63976.9217342033,64522.0063839286,65375.5207211539,65620.4770226648,65801.0540315934,65962.3508207418,66276.473073489,66354.1991208791,66414.8079807692,66533.5141105769,66723.893489011,66752.7720947802,66819.9878399725,66970.2671583105,67043.8914285714,67078.6162311126,67170.0531730769,67231.1628056319,67379.216978022,67442.3624965659,67461.0483653846,67505.9803708791,67599.1621617445,67625.3852043269,67650.3227472528,67749.2604618819,67834.7587877747,67899.4014732143,67927.1486401099,67963.8757177198,68001.4798557692,68112.6042548077,68183.2192101648,68237.691351305,68338.5985885989,68423.7148317308,68503.7690041209,68537.7785336539,68577.9442273352,68614.4267994505,68697.6548214286,68760.8291002747,68780.3633550824,68806.1516449176,68837.3770913462,68949.1232709478,69000.9930769231,69082.5814182692,69215.6165315934,69294.6004773352,69362.8831009615,69418.7559975962,69639.7693904533,69731.2854017857,69803.4694677198,69883.5051820055,69955.1992925824,70041.7149175824,70199.5597836539,70255.6152438187,70434.1895913462,70529.1642651099,70697.0214938187,71022.6442616758,71104.2971634616,71400.0495673077,71599.085625,71965.3831868132,72446.6072596154,72504.7721806319,72719.5475068681,73882.247970467,75442.8843028846,76561.7197252747,77943.2628228022,78941.4284735577,79547.001876717,81129.8214165522,84241.5217084478
2016-07-05,70952.5,51349.4256593407,54228.5171771978,54583.5948729396,54748.5309134615,55356.8612706044,56266.1086092033,61070.4059134615,62427.4722767857,63175.6111847528,65000.1450103022,65288.5596737637,65387.3117342033,65932.3963839286,66785.9107211539,67030.8670226648,67211.4440315934,67372.7408207418,67686.863073489,67764.5891208791,67825.1979807692,67943.9041105769,68134.283489011,68163.1620947802,68230.3778399725,68380.6571583105,68454.2814285714,68489.0062311126,68580.4431730769,68641.5528056319,68789.606978022,68852.7524965659,68871.4383653846,68916.3703708791,69009.5521617445,69035.7752043269,69060.7127472527,69159.6504618819,69245.1487877747,69309.7914732143,69337.5386401099,69374.2657177198,69411.8698557692,69522.9942548077,69593.6092101648,69648.081351305,69748.9885885989,69834.1048317308,69914.1590041209,69948.1685336539,69988.3342273352,70024.8167994505,70106.8629017857,70143.4187912088,70180.8289903846,70197.4647218407,70238.0543509615,70288.6505906594,70387.1426064561,70448.3753502747,70562.1068921703,70664.5650824176,70763.1252214973,70796.6438942308,70905.5490281594,71108.1290848214,71171.4101201923,71273.3258138736,71335.6430357143,71430.9780288462,71527.0243028846,71630.7430528846,71720.1221737637,71866.8400652473,72018.1278399725,72367.1518784341,72469.4370776099,72616.6414903846,73009.475625,73375.7731868132,73856.9972596154,73915.1621806319,74129.9375068681,75292.637970467,76853.2743028846,77972.1097252747,79353.6528228022,80351.8184735577,80957.391876717,82540.2114165522,85651.9117084478
2016-07-06,71140,54205.7316593407,57084.8231771978,57439.9008729396,57604.8369134615,58213.1672706044,59122.4146092033,63926.7119134615,65283.7782767857,66031.9171847527,67856.4510103022,68144.8656737637,68243.6177342033,68788.7023839286,69642.2167211538,69887.1730226648,70067.7500315934,70229.0468207418,70543.169073489,70620.8951208791,70681.5039807692,70800.2101105769,70990.589489011,71019.4680947802,71086.6838399725,71236.9631583104,71310.5874285714,71345.3122311126,71436.7491730769,71497.8588056319,71645.912978022,71709.0584965659,71727.7443653846,71772.6763708791,71865.8581617445,71892.0812043269,71917.0187472527,72015.9564618819,72101.4547877747,72166.0974732143,72193.8446401099,72230.5717177198,72268.1758557692,72379.3002548077,72449.9152101648,72504.3873513049,72605.2945885989,72690.4108317308,72770.4650041209,72804.4745336538,72844.6402273352,72881.1227994505,72963.1689017857,73027.5251002747,73047.0593550824,73072.8476449176,73104.0730913462,73215.8192709478,73267.6890769231,73349.2774182692,73482.3125315934,73561.2964773352,73629.5791009615,73685.4519975962,73831.7671160714,73964.4350848214,74027.7161201923,74129.6318138736,74191.9490357143,74287.2840288462,74383.3303028846,74487.0490528846,74576.4281737637,74723.1460652473,74874.4338399725,75223.4578784341,75325.7430776099,75472.9474903846,75865.781625,76232.0791868132,76713.3032596154,76771.4681806319,76986.2435068681,78148.943970467,79709.5803028846,80828.4157252747,82209.9588228022,83208.1244735577,83813.697876717,85396.5174165522,88508.2177084478
2016-07-07,69126.25,49352.1296593407,52231.2211771978,52586.2988729396,52751.2349134615,53359.5652706044,54268.8126092033,59073.1099134615,60430.1762767857,62344.6328358517,63100.0342781593,63361.5521353022,63398.2080418956,64081.7555178571,64934.7078701923,65143.8084883242,65306.1060501374,65426.2944945055,65761.9138282967,65771.052907967,65918.2976710165,66078.9590721154,66150.0645837912,66212.2408372253,66272.9704903846,66383.3611583105,66456.9854285714,66491.7102311126,66583.1471730769,66644.2568056319,66792.310978022,66855.4564965659,66874.1423653846,66919.0743708791,67012.2561617445,67038.4792043269,67063.4167472527,67162.3544618819,67247.8527877747,67312.4954732143,67340.2426401099,67376.9697177198,67414.5738557692,67525.6982548077,67596.3132101648,67650.7853513049,67751.6925885989,67836.8088317308,67916.8630041209,67950.8725336538,67991.0382273352,68027.5207994505,68109.5669017857,68173.9231002747,68193.4573550824,68219.2456449176,68250.4710913462,68362.2172709478,68414.0870769231,68495.6754182692,68628.7105315934,68707.6944773352,68775.9771009615,68831.8499975962,68978.1651160714,69110.8330848214,69174.1141201923,69276.0298138736,69338.3470357143,69433.6820288462,69529.7283028846,69633.4470528846,69722.8261737637,69869.5440652473,70020.8318399725,70369.8558784341,70472.1410776099,70619.3454903846,71012.179625,71378.4771868132,71859.7012596154,71917.8661806319,72132.6415068681,73295.341970467,74855.9783028846,75974.8137252747,77356.3568228022,78354.5224735577,78960.095876717,80542.9154165522,83654.6157084478
2016-07-08,69831,51050.9496593407,53930.0411771978,54285.1188729396,54450.0549134615,55058.3852706044,55967.6326092033,60771.9299134615,62128.9962767857,64043.4528358516,64798.8542781593,65060.3721353022,65097.0280418956,65780.5755178571,66633.5278701923,66842.6284883242,67004.9260501374,67125.1144945055,67460.7338282967,67469.872907967,67617.1176710165,67777.7790721154,67848.8845837912,67911.0608372253,67971.7904903846,68082.1811583104,68155.8054285714,68190.5302311126,68281.9671730769,68343.0768056319,68491.130978022,68554.2764965659,68572.9623653846,68617.8943708791,68711.0761617445,68737.2992043269,68762.2367472527,68861.1744618819,68946.6727877747,69011.3154732143,69039.0626401099,69075.7897177198,69113.3938557692,69224.5182548077,69295.1332101648,69349.6053513049,69450.5125885989,69535.6288317308,69615.6830041209,69649.6925336538,69689.8582273352,69726.3407994505,69808.3869017857,69872.7431002747,69892.2773550824,69918.0656449176,69949.2910913462,70061.0372709478,70112.9070769231,70194.4954182692,70327.5305315934,70406.5144773352,70474.7971009615,70530.6699975962,70676.9851160714,70806.9700491071,70842.8632925824,70914.518426511,70994.8382239011,71066.1742472527,71152.8872451923,71311.2938385989,71367.2211222527,71545.9833990385,71640.1042781593,71805.5968949176,72134.1566476648,72215.3163317308,72532.0286428571,72838.0926881868,73345.3456929945,73592.3098928571,73798.4285398352,74001.1689244505,76213.4680745192,76750.166606456,78957.6863523352,80053.3424735577,80658.915876717,82241.7354165522,85353.4357084478
2016-07-09,57518.25,38800.6536593407,41679.7451771978,42034.8228729396,42199.7589134615,42808.0892706044,43717.3366092033,48521.6339134615,49878.7002767857,51793.1568358517,52548.5582781593,52810.0761353022,52846.7320418956,53530.2795178571,54383.2318701923,54592.3324883242,54754.6300501374,54874.8184945055,55210.4378282967,55219.576907967,55366.8216710165,55527.4830721154,55598.5885837912,55660.7648372253,55721.4944903846,55831.8851583104,55905.5094285714,55940.2342311126,56031.6711730769,56092.7808056319,56240.834978022,56303.9804965659,56322.6663653846,56367.5983708791,56460.7801617445,56487.0032043269,56511.9407472528,56610.8784618819,56696.3767877747,56761.0194732143,56788.7666401099,56825.4937177198,56863.0978557692,56974.2222548077,57065.4299728709,57156.8932712912,57242.2318701923,57321.5796552198,57383.1886009615,57412.4980961538,57462.142842033,57515.8938722528,57576.797375,57622.4471002747,57641.9813550824,57667.7696449176,57698.9950913462,57810.7412709478,57862.6110769231,57944.1994182692,58077.2345315934,58156.2184773352,58224.5011009615,58280.3739975962,58426.6891160714,58556.6740491071,58592.5672925824,58664.222426511,58744.5422239011,58815.8782472528,58902.5912451923,59060.9978385989,59116.9251222528,59295.6873990385,59389.8082781593,59555.3008949176,59883.8606476648,59965.0203317308,60281.7326428571,60587.7966881868,61095.0496929945,61342.0138928571,61548.1325398352,61750.8729244506,63963.1720745192,64499.8706064561,66707.3903523352,67803.0464735577,68408.619876717,69991.4394165522,73103.1397084478
2016-07-10,51765.75,33701.2756593407,36580.3671771978,36935.4448729396,37387.6752129121,38258.1273076923,41718.4501098901,43764.8208173077,44898.3792822802,47357.691353022,47642.737970467,47739.444271978,48291.1202678571,49146.8166964286,49383.9716586538,49563.9913186813,49725.2948901099,50042.1971909341,50116.4808447802,50177.8376442308,50295.858334478,50486.4085576923,50515.2115281593,50582.3279429945,50675.823178228,50788.5902197802,50818.0884598214,50854.4738478709,50974.2865625,51031.4798145604,51191.6243028846,51213.624217033,51232.8608241758,51331.805364011,51369.5189199863,51403.2246634615,51427.7474570742,51570.5295226648,51637.6215556319,51666.5516294643,51711.1062740385,51738.1506593407,51825.4199759615,51917.9767239011,52000.2482726648,52100.8595364011,52185.9806730769,52266.1575274725,52300.120782967,52340.6140865385,52376.9811881868,52431.1836263736,52477.419375,52523.0691002747,52542.6033550824,52568.3916449176,52599.6170913462,52711.3632709478,52763.2330769231,52844.8214182692,52977.8565315934,53056.8404773352,53125.1231009615,53180.9959975962,53327.3111160714,53457.2960491071,53493.1892925824,53564.844426511,53645.1642239011,53716.5002472527,53803.2132451923,53961.6198385989,54017.5471222527,54196.3093990385,54290.4302781593,54455.9228949176,54784.4826476648,54865.6423317308,55182.3546428571,55488.4186881868,55995.6716929945,56242.6358928571,56448.7545398352,56651.4949244505,58863.7940745192,59400.492606456,61608.0123523352,62703.6684735577,63309.241876717,64892.0614165522,68003.7617084478
