ds,y,residuals
2016-01-01 00:00:00,43731.75,3625.1640625
2016-01-01 01:00:00,41962.0,1829.9453125
2016-01-01 02:00:00,40222.5,-2011.58203125
2016-01-01 03:00:00,39243.0,-5003.41015625
2016-01-01 04:00:00,38749.5,-4340.00390625
2016-01-01 05:00:00,38060.0,-3802.48046875
2016-01-01 06:00:00,36689.0,-5284.8359375
2016-01-01 07:00:00,36925.0,-4648.57421875
2016-01-01 08:00:00,37604.0,-4347.6875
2016-01-01 09:00:00,39606.75,-1069.171875
2016-01-01 10:00:00,42318.25,3079.26171875
2016-01-01 11:00:00,45348.25,5609.88671875
2016-01-01 12:00:00,46199.5,5612.48046875
2016-01-01 13:00:00,45488.5,4098.65625
2016-01-01 14:00:00,45338.5,2789.84765625
2016-01-01 15:00:00,46020.25,861.38671875
2016-01-01 16:00:00,48631.0,-631.015625
2016-01-01 17:00:00,52169.0,503.734375
2016-01-01 18:00:00,52797.25,141.37109375
2016-01-01 19:00:00,51298.75,868.11328125
2016-01-01 20:00:00,49284.75,1486.828125
2016-01-01 21:00:00,47752.5,1002.69140625
2016-01-01 22:00:00,47393.25,1023.28125
2016-01-01 23:00:00,44163.0,-1135.1796875
2016-01-02 00:00:00,40932.5,-1266.0390625
2016-01-02 01:00:00,38946.5,306.484375
2016-01-02 02:00:00,38158.5,249.66015625
2016-01-02 03:00:00,37844.5,-487.53125
2016-01-02 04:00:00,38761.5,629.9296875
2016-01-02 05:00:00,39661.75,130.9453125
2016-01-02 06:00:00,40625.5,-678.94140625
2016-01-02 07:00:00,43705.75,868.953125
2016-01-02 08:00:00,47548.5,1912.421875
2016-01-02 09:00:00,51254.5,2565.69140625
2016-01-02 10:00:00,53798.5,713.0078125
2016-01-02 11:00:00,55752.25,1296.2109375
2016-01-02 12:00:00,56315.75,1723.5234375
2016-01-02 13:00:00,55552.75,1394.3125
2016-01-02 14:00:00,54969.75,1800.6328125
2016-01-02 15:00:00,55152.0,1076.65625
2016-01-02 16:00:00,57045.75,390.74609375
2016-01-02 17:00:00,60059.75,1204.51171875
2016-01-02 18:00:00,60431.25,1026.6328125
2016-01-02 19:00:00,58884.0,1807.17578125
2016-01-02 20:00:00,55174.25,304.5625
2016-01-02 21:00:00,52626.0,-535.95703125
2016-01-02 22:00:00,52114.5,2450.30859375
2016-01-02 23:00:00,49025.5,1031.80859375
2016-01-03 00:00:00,45832.5,300.328125
2016-01-03 01:00:00,43141.75,-23.67578125
2016-01-03 02:00:00,41809.5,-46.34375
2016-01-03 03:00:00,41299.25,-529.37109375
2016-01-03 04:00:00,41359.25,187.72265625
2016-01-03 05:00:00,41036.25,-1238.609375
2016-01-03 06:00:00,40391.0,-2506.72265625
2016-01-03 07:00:00,42025.75,-909.19921875
2016-01-03 08:00:00,44714.25,-360.01953125
2016-01-03 09:00:00,48107.5,-562.921875
2016-01-03 10:00:00,51113.0,-408.51171875
2016-01-03 11:00:00,54048.25,-166.94140625
2016-01-03 12:00:00,54315.25,-1280.828125
2016-01-03 13:00:00,52856.0,-1449.8515625
2016-01-03 14:00:00,51276.75,-1441.671875
2016-01-03 15:00:00,50848.75,-1435.55078125
2016-01-03 16:00:00,53166.0,-1446.8125
2016-01-03 17:00:00,57296.0,-40.8125
2016-01-03 18:00:00,57888.5,-2165.6875
2016-01-03 19:00:00,56793.5,-564.55859375
2016-01-03 20:00:00,54613.75,-906.4453125
2016-01-03 21:00:00,52918.5,-2723.21484375
2016-01-03 22:00:00,52606.75,-226.62109375
2016-01-03 23:00:00,49547.75,-2402.7578125
2016-01-04 00:00:00,46864.25,143.265625
2016-01-04 01:00:00,44952.25,108.96484375
2016-01-04 02:00:00,43773.5,-528.7265625
2016-01-04 03:00:00,43858.25,-152.28515625
2016-01-04 04:00:00,45447.75,994.984375
2016-01-04 05:00:00,48595.0,3777.1640625
2016-01-04 06:00:00,54769.25,6424.578125
2016-01-04 07:00:00,60886.0,5515.3125
2016-01-04 08:00:00,64645.0,3035.67578125
2016-01-04 09:00:00,66072.0,133.640625
2016-01-04 10:00:00,67255.75,208.296875
2016-01-04 11:00:00,68614.5,3588.4296875
2016-01-04 12:00:00,68653.25,3531.7890625
2016-01-04 13:00:00,68023.5,3516.484375
2016-01-04 14:00:00,66801.0,4278.22265625
2016-01-04 15:00:00,66266.75,3289.5
2016-01-04 16:00:00,67034.75,23.03125
2016-01-04 17:00:00,70706.75,2485.046875
2016-01-04 18:00:00,70768.25,3319.3125
2016-01-04 19:00:00,68949.5,3301.3125
2016-01-04 20:00:00,64676.5,2223.6875
2016-01-04 21:00:00,61587.25,681.3828125
2016-01-04 22:00:00,59319.75,1380.24609375
2016-01-04 23:00:00,55200.25,339.1796875
2016-01-05 00:00:00,52053.25,207.703125
2016-01-05 01:00:00,49741.0,-369.50390625
2016-01-05 02:00:00,48433.5,-1449.2109375
2016-01-05 03:00:00,48902.0,-292.44140625
2016-01-05 04:00:00,49553.25,-38.4453125
2016-01-05 05:00:00,52538.5,1908.265625
2016-01-05 06:00:00,58196.75,2898.53125
2016-01-05 07:00:00,63923.25,2614.9296875
2016-01-05 08:00:00,66976.75,-795.6640625
2016-01-05 09:00:00,67694.75,-2278.828125
2016-01-05 10:00:00,68753.5,-661.328125
2016-01-05 11:00:00,69993.25,302.4765625
2016-01-05 12:00:00,70017.0,1627.21875
2016-01-05 13:00:00,69089.5,999.0859375
2016-01-05 14:00:00,68327.25,746.1640625
2016-01-05 15:00:00,68020.25,-425.765625
2016-01-05 16:00:00,69106.75,-330.5390625
2016-01-05 17:00:00,71862.75,457.609375
2016-01-05 18:00:00,71581.25,-669.765625
2016-01-05 19:00:00,69763.75,724.0625
2016-01-05 20:00:00,65609.5,41.8828125
2016-01-05 21:00:00,62128.0,-473.1328125
2016-01-05 22:00:00,59354.5,-474.7421875
2016-01-05 23:00:00,55038.75,-472.4296875
2016-01-06 00:00:00,52151.25,801.234375
2016-01-06 01:00:00,50053.25,-401.05859375
2016-01-06 02:00:00,48845.75,-683.74609375
2016-01-06 03:00:00,48738.5,-760.94921875
2016-01-06 04:00:00,49720.0,75.27734375
2016-01-06 05:00:00,51362.75,-438.04296875
2016-01-06 06:00:00,55162.0,488.953125
2016-01-06 07:00:00,60182.75,676.625
2016-01-06 08:00:00,63015.25,-1427.0
2016-01-06 09:00:00,64050.0,-1674.578125
2016-01-06 10:00:00,65568.25,-43.90625
2016-01-06 11:00:00,67443.5,475.3984375
2016-01-06 12:00:00,67090.0,-1364.34375
2016-01-06 13:00:00,65702.5,-749.234375
2016-01-06 14:00:00,64479.0,-174.078125
2016-01-06 15:00:00,64129.5,-915.1484375
2016-01-06 16:00:00,65889.0,-224.5
2016-01-06 17:00:00,68980.5,-217.0625
2016-01-06 18:00:00,68914.25,-1911.484375
2016-01-06 19:00:00,67184.0,257.90625
2016-01-06 20:00:00,63539.75,-1002.6015625
2016-01-06 21:00:00,60652.75,-1210.9609375
2016-01-06 22:00:00,58711.75,-5.109375
2016-01-06 23:00:00,54737.5,-1917.76953125
2016-01-07 00:00:00,51721.0,-564.3359375
2016-01-07 01:00:00,49479.0,-148.3984375
2016-01-07 02:00:00,48291.75,-1118.75390625
2016-01-07 03:00:00,48345.25,-650.78125
2016-01-07 04:00:00,50100.5,1497.6640625
2016-01-07 05:00:00,53620.75,1335.5703125
2016-01-07 06:00:00,61083.25,3957.3046875
2016-01-07 07:00:00,67590.5,3524.33203125
2016-01-07 08:00:00,70299.5,0.3671875
2016-01-07 09:00:00,70303.75,-1657.2578125
2016-01-07 10:00:00,70282.75,94.765625
2016-01-07 11:00:00,72113.25,2705.1640625
2016-01-07 12:00:00,72112.5,2144.625
2016-01-07 13:00:00,71591.0,2194.96875
2016-01-07 14:00:00,70997.25,2008.875
2016-01-07 15:00:00,70794.0,2473.34375
2016-01-07 16:00:00,71425.75,652.5703125
2016-01-07 17:00:00,74199.5,1742.578125
2016-01-07 18:00:00,73782.75,1783.203125
2016-01-07 19:00:00,71393.5,2695.3125
2016-01-07 20:00:00,67458.25,1689.390625
2016-01-07 21:00:00,63779.75,1590.76171875
2016-01-07 22:00:00,61360.75,2905.359375
2016-01-07 23:00:00,56772.75,1472.625
2016-01-08 00:00:00,53532.5,-74.16015625
2016-01-08 01:00:00,51434.0,269.5546875
2016-01-08 02:00:00,50044.0,29.0078125
2016-01-08 03:00:00,50199.0,194.65625
2016-01-08 04:00:00,51459.75,986.0859375
2016-01-08 05:00:00,54567.0,1239.77734375
2016-01-08 06:00:00,62656.25,4537.1875
2016-01-08 07:00:00,69177.5,2423.2109375
2016-01-08 08:00:00,71473.25,-4.6875
2016-01-08 09:00:00,70917.25,-1399.859375
2016-01-08 10:00:00,70569.25,-1660.390625
2016-01-08 11:00:00,71093.5,910.5
2016-01-08 12:00:00,70660.5,-64.6875
2016-01-08 13:00:00,69474.0,-292.625
2016-01-08 14:00:00,67869.5,-841.046875
2016-01-08 15:00:00,66990.25,-761.375
2016-01-08 16:00:00,68070.0,-110.953125
2016-01-08 17:00:00,71333.25,919.6015625
2016-01-08 18:00:00,70929.5,-2709.59375
2016-01-08 19:00:00,68905.0,-1093.53125
2016-01-08 20:00:00,64386.5,-1570.5625
2016-01-08 21:00:00,60856.5,-782.984375
2016-01-08 22:00:00,58489.5,693.90625
2016-01-08 23:00:00,54399.0,-2348.5234375
2016-01-09 00:00:00,51343.25,-111.3984375
2016-01-09 01:00:00,49310.25,-513.64453125
2016-01-09 02:00:00,47924.5,-1102.12890625
2016-01-09 03:00:00,47211.25,-1137.26171875
2016-01-09 04:00:00,47038.5,-2123.7578125
2016-01-09 05:00:00,46984.5,-2881.9453125
2016-01-09 06:00:00,47127.0,-4973.9609375
2016-01-09 07:00:00,49695.5,-2018.71484375
2016-01-09 08:00:00,53381.0,-818.87890625
2016-01-09 09:00:00,56834.5,-90.91015625
2016-01-09 10:00:00,58502.0,-2444.8984375
2016-01-09 11:00:00,59998.5,-1982.09375
2016-01-09 12:00:00,59335.0,-2460.65625
2016-01-09 13:00:00,57090.5,-2688.23828125
2016-01-09 14:00:00,55845.5,-1120.6328125
2016-01-09 15:00:00,55918.0,-1779.25
2016-01-09 16:00:00,57408.25,-2961.1328125
2016-01-09 17:00:00,61771.0,441.0
2016-01-09 18:00:00,62274.0,-1698.0390625
2016-01-09 19:00:00,60331.25,-1869.48046875
2016-01-09 20:00:00,56412.25,-2361.875
2016-01-09 21:00:00,54118.0,-1193.6171875
2016-01-09 22:00:00,53653.25,250.78125
2016-01-09 23:00:00,50700.5,-1645.34375
2016-01-10 00:00:00,46517.5,-983.7109375
2016-01-10 01:00:00,44645.5,-719.7734375
2016-01-10 02:00:00,43503.5,287.83984375
2016-01-10 03:00:00,43221.25,3183.45703125
2016-01-10 04:00:00,43262.25,2550.796875
2016-01-10 05:00:00,42601.25,-1584.4609375
2016-01-10 06:00:00,42054.0,-5438.2109375
2016-01-10 07:00:00,44120.25,-4681.984375
2016-01-10 08:00:00,47699.25,219.34375
2016-01-10 09:00:00,51257.5,4162.6015625
2016-01-10 10:00:00,53703.75,3894.96875
2016-01-10 11:00:00,56190.75,3024.89453125
2016-01-10 12:00:00,55771.25,211.65234375
2016-01-10 13:00:00,54115.5,-848.421875
2016-01-10 14:00:00,52878.0,-1202.7109375
2016-01-10 15:00:00,52796.75,-437.16796875
2016-01-10 16:00:00,54302.5,-1227.6796875
2016-01-10 17:00:00,58498.25,1190.0
2016-01-10 18:00:00,59470.75,614.671875
2016-01-10 19:00:00,58151.0,436.70703125
2016-01-10 20:00:00,55740.25,44.6171875
2016-01-10 21:00:00,53817.75,666.0703125
2016-01-10 22:00:00,53723.75,1831.38671875
2016-01-10 23:00:00,49955.75,-804.2109375
2016-01-11 00:00:00,47167.75,112.46875
2016-01-11 01:00:00,45335.0,543.1796875
2016-01-11 02:00:00,44355.75,-1118.09375
2016-01-11 03:00:00,45420.25,342.4140625
2016-01-11 04:00:00,46865.0,-80.7109375
2016-01-11 05:00:00,51245.75,2397.421875
2016-01-11 06:00:00,60681.5,5725.4921875
2016-01-11 07:00:00,68403.75,2983.04296875
2016-01-11 08:00:00,71461.25,-1397.734375
2016-01-11 09:00:00,76649.0,3161.890625
2016-01-11 10:00:00,79285.0,1679.734375
